COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,NAME,NETWORKS,OBSERVING NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS,TYPE
United States,2021-11-22T03:00:00,26.0378,-126.5873,2022-01-11T18:28:00,DWS-B,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,5103546,,INACTIVE,DWS
United States,2021-11-20T16:18:00,27.9283,-125.93,2022-02-02T21:28:00,DWS-B,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,5103551,,INACTIVE,DWS
United States,2021-11-20T01:00:00,29.3417,-125.0517,2021-12-11T21:28:00,DWS-B,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,5103550,,CLOSED,DWS
United States,2021-11-18T13:12:00,30.8,-122.6897,2021-12-13T21:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,5103552,,CLOSED,DWS
United States,2021-11-18T09:00:00,32.1067,-121.7542,2021-12-13T21:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,5103543,,CLOSED,DWS
United States,2021-09-28T17:45:00,27.8611,-94.56,2022-03-16T21:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602736,,OPERATIONAL,DWS
United States,2021-09-07T10:53:00,69.491,3.4469,2021-12-13T21:00:00,DWS-B,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402722,,CLOSED,DWS
United States,2021-09-01T13:39:00,50.0003,-143.9607,2021-11-29T03:28:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602732,,CLOSED,DWS
United States,2021-10-16T03:11:00,14,-62.89,2022-01-08T12:00:00,DWS,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4102641,,INACTIVE,DWS
United States,2021-09-22T17:28:00,-16.9842,94.8347,2022-01-27T12:28:00,DWS,,"DBCP, Global Drifter Array",DBCP,SIO-DB,2302585,,INACTIVE,DWS
United States,2021-09-21T20:12:00,-13.4628,84.848,2022-01-22T06:00:00,DWS,,"DBCP, Global Drifter Array",DBCP,SIO-DB,2302588,,INACTIVE,DWS
United States,2021-09-21T09:08:00,-13.4628,84.848,2021-12-13T21:00:00,DWS,,"DBCP, Global Drifter Array",DBCP,SIO-DB,2302586,,CLOSED,DWS
United States,2021-09-14T14:15:00,10.13,68.9239,2022-01-02T12:28:00,DWS,,"DBCP, Global Drifter Array",DBCP,SIO-DB,2302589,,INACTIVE,DWS
United States,2021-09-14T12:00:00,12.1822,68.5728,2021-12-19T02:07:00,DWS,,"DBCP, Global Drifter Array",DBCP,SIO-DB,2302587,,INACTIVE,DWS
United States,2021-05-24T00:00:00,66.3517,-9.047,2021-12-13T21:00:00,DWS-B,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402679_100,,CLOSED,DWS
United States,2021-05-19T00:00:00,66.1471,-27.9834,2021-09-09T06:00:00,DWS-B,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402678_100,,CLOSED,DWS
United States,2021-08-31T20:24:00,49.6883,-140.502,2021-12-10T00:42:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602733,,CLOSED,DWS
United States,2021-08-30T08:57:00,49.4548,-137.0021,2021-10-01T19:29:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602729,,CLOSED,DWS
United States,2021-08-29T03:18:00,49.1868,-133.4871,2021-09-08T00:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602730,,CLOSED,DWS
United States,2021-08-27T18:00:00,48.92,-130.0007,2022-02-26T15:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602731,,OPERATIONAL,DWS
United States,2021-08-27T21:30:00,17.7264,-151.3572,2022-01-11T18:28:00,DWS,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,5103540,,INACTIVE,DWS
United States,2021-08-25T01:51:00,27.1692,-170.7242,2021-12-13T21:00:00,DWS,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,5103539,,CLOSED,DWS
United States,2021-08-18T23:19:00,35.3675,139.7044,2021-09-08T00:00:00,DWS,,"DBCP, Global Drifter Array",DBCP,SIO-DB,5103541,,CLOSED,DWS
